año,trimestre,periodo,tasa_nacional,bogota,medellin,cali,barranquilla,bucaramanga,manizales,ibague,pereira,cucuta,cartagena
2015,1,2015-T1,10.8,9.5,12.1,14.2,8.7,8.9,11.4,16.2,12.8,14.1,10.3
2015,2,2015-T2,9.0,8.2,10.5,12.8,7.6,7.8,9.7,14.5,11.1,12.4,8.9
2015,3,2015-T3,8.9,7.8,10.2,12.5,7.4,7.5,9.3,14.1,10.8,12.1,8.6
2015,4,2015-T4,8.9,8.1,10.0,12.0,7.3,7.2,9.5,13.8,10.5,11.8,8.4
2016,1,2016-T1,11.4,10.1,12.8,14.9,9.2,9.3,12.0,17.1,13.4,14.8,10.9
2016,2,2016-T2,9.4,8.5,11.0,13.2,7.9,8.1,10.2,15.1,11.6,12.9,9.2
2016,3,2016-T3,9.0,8.0,10.6,12.8,7.6,7.7,9.8,14.6,11.2,12.5,8.8
2016,4,2016-T4,9.2,8.4,10.4,12.3,7.5,7.4,9.9,14.2,10.9,12.2,8.6
2017,1,2017-T1,11.7,10.4,13.1,15.2,9.5,9.6,12.3,17.5,13.7,15.2,11.2
2017,2,2017-T2,9.7,8.7,11.3,13.5,8.1,8.3,10.5,15.4,11.9,13.2,9.5
2017,3,2017-T3,9.4,8.3,10.9,13.1,7.9,8.0,10.1,14.9,11.5,12.8,9.1
2017,4,2017-T4,9.5,8.7,10.7,12.6,7.8,7.7,10.2,14.5,11.2,12.5,8.9
2018,1,2018-T1,11.8,10.5,13.2,15.4,9.6,9.7,12.5,17.7,13.8,15.4,11.3
2018,2,2018-T2,9.8,8.8,11.4,13.6,8.2,8.4,10.6,15.6,12.0,13.3,9.6
2018,3,2018-T3,9.6,8.5,11.1,13.3,8.0,8.2,10.3,15.1,11.7,13.0,9.3
2018,4,2018-T4,9.7,8.9,10.9,12.8,7.9,7.9,10.4,14.7,11.4,12.7,9.1
2019,1,2019-T1,12.0,10.7,13.4,15.6,9.8,9.9,12.7,17.9,14.0,15.6,11.5
2019,2,2019-T2,10.6,9.3,12.0,14.2,8.8,9.0,11.2,16.2,12.6,13.9,10.2
2019,3,2019-T3,10.5,9.1,11.8,14.0,8.7,8.9,11.0,15.8,12.3,13.7,10.0
2019,4,2019-T4,10.7,9.4,11.6,13.5,8.6,8.6,11.1,15.4,12.0,13.4,9.8
2020,1,2020-T1,12.6,11.2,13.9,16.1,10.3,10.4,13.2,18.5,14.5,16.1,12.0
2020,2,2020-T2,21.4,19.8,22.8,24.3,18.9,19.5,21.7,27.3,22.9,25.1,20.3
2020,3,2020-T3,16.8,15.2,17.9,19.8,14.5,15.1,17.3,22.6,18.4,20.5,16.1
2020,4,2020-T4,15.9,14.6,16.8,18.7,13.8,14.3,16.5,21.4,17.5,19.6,15.3
2021,1,2021-T1,16.8,15.4,17.8,19.6,14.6,15.0,17.2,22.3,18.1,20.2,16.0
2021,2,2021-T2,14.3,12.9,15.1,17.1,12.3,12.8,14.7,19.5,15.6,17.8,13.6
2021,3,2021-T3,11.9,10.6,12.8,14.8,10.1,10.5,12.3,17.1,13.3,15.4,11.3
2021,4,2021-T4,11.3,10.1,12.2,14.1,9.6,10.0,11.7,16.4,12.7,14.8,10.8
2022,1,2022-T1,13.4,11.9,14.1,15.8,11.2,11.6,13.5,18.3,14.6,16.5,12.7
2022,2,2022-T2,11.2,9.9,12.0,13.6,9.4,9.8,11.4,16.1,12.5,14.3,10.6
2022,3,2022-T3,10.7,9.5,11.5,13.1,9.0,9.4,10.9,15.6,12.0,13.8,10.1
2022,4,2022-T4,10.3,9.2,11.1,12.6,8.7,9.0,10.5,15.1,11.6,13.3,9.8
2023,1,2023-T1,12.5,11.1,13.3,14.8,10.5,10.8,12.7,17.4,13.8,15.6,11.9
2023,2,2023-T2,10.4,9.2,11.2,12.7,8.7,9.1,10.7,15.3,11.7,13.5,9.9
2023,3,2023-T3,9.9,8.8,10.7,12.2,8.3,8.7,10.2,14.8,11.2,13.0,9.4
2023,4,2023-T4,9.6,8.6,10.4,11.8,8.0,8.4,9.9,14.4,10.9,12.6,9.1
2024,1,2024-T1,11.8,10.5,12.6,14.0,9.8,10.1,11.9,16.6,13.0,14.8,11.2
2024,2,2024-T2,10.1,8.9,10.9,12.3,8.2,8.6,10.3,15.0,11.3,13.1,9.6
2024,3,2024-T3,9.7,8.5,10.5,11.9,7.9,8.3,9.9,14.6,10.9,12.7,9.2
2024,4,2024-T4,9.4,8.3,10.2,11.5,7.7,8.0,9.6,14.2,10.6,12.3,8.9
