anio,producto,valor_millones_usd,participacion_pct,destino_principal
2010,Petroleo y derivados,11642,43.2,Estados Unidos
2010,Cafe,1884,7.0,Estados Unidos
2010,Carbon,2978,11.1,Europa
2010,Ferroníquel,423,1.6,Europa
2010,Flores,1056,3.9,Estados Unidos
2010,Banano,786,2.9,Europa
2010,Oro,1519,5.6,Suiza
2010,Manufacturas,4624,17.2,Venezuela
2010,Otros,2034,7.5,Varios
2011,Petroleo y derivados,20000,47.8,Estados Unidos
2011,Cafe,2608,6.2,Estados Unidos
2011,Carbon,4988,11.9,Europa
2011,Ferroníquel,728,1.7,Europa
2011,Flores,1114,2.7,Estados Unidos
2011,Banano,837,2.0,Europa
2011,Oro,2503,6.0,Suiza
2011,Manufacturas,6145,14.7,Venezuela
2011,Otros,2993,7.0,Varios
2012,Petroleo y derivados,21025,48.2,Estados Unidos
2012,Cafe,1909,4.4,Estados Unidos
2012,Carbon,5059,11.6,Europa
2012,Ferroníquel,612,1.4,Europa
2012,Flores,1138,2.6,Estados Unidos
2012,Banano,828,1.9,Europa
2012,Oro,2607,6.0,Suiza
2012,Manufacturas,5978,13.7,Venezuela
2012,Otros,4446,10.2,Varios
2013,Petroleo y derivados,19657,46.7,Estados Unidos
2013,Cafe,1942,4.6,Estados Unidos
2013,Carbon,4784,11.4,Europa
2013,Ferroníquel,587,1.4,Europa
2013,Flores,1139,2.7,Estados Unidos
2013,Banano,876,2.1,Europa
2013,Oro,1929,4.6,Suiza
2013,Manufacturas,5645,13.4,Latinoamérica
2013,Otros,5579,13.1,Varios
2014,Petroleo y derivados,16834,44.0,Estados Unidos
2014,Cafe,2523,6.6,Estados Unidos
2014,Carbon,4100,10.7,Europa
2014,Ferroníquel,682,1.8,Europa
2014,Flores,1200,3.1,Estados Unidos
2014,Banano,889,2.3,Europa
2014,Oro,1514,4.0,Suiza
2014,Manufacturas,5789,15.1,Latinoamérica
2014,Otros,4741,12.4,Varios
2015,Petroleo y derivados,7764,33.4,Estados Unidos
2015,Cafe,2489,10.7,Estados Unidos
2015,Carbon,2994,12.9,Europa
2015,Ferroníquel,441,1.9,Europa
2015,Flores,1224,5.3,Estados Unidos
2015,Banano,876,3.8,Europa
2015,Oro,1251,5.4,Suiza
2015,Manufacturas,4432,19.1,Latinoamérica
2015,Otros,1789,7.5,Varios
2016,Petroleo y derivados,7064,33.2,Estados Unidos
2016,Cafe,2333,11.0,Estados Unidos
2016,Carbon,2888,13.6,Europa
2016,Ferroníquel,400,1.9,Europa
2016,Flores,1213,5.7,Estados Unidos
2016,Banano,889,4.2,Europa
2016,Oro,1162,5.5,Suiza
