anio,inflacion_pct,fuente
2010,2.27,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2011,3.42,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2012,3.17,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2013,2.02,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2014,2.9,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2015,4.99,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2016,7.51,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2017,4.31,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2018,3.24,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2019,3.52,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2020,2.53,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2021,3.5,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2022,10.18,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2023,11.74,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
2024,6.61,Banco Mundial - FP.CPI.TOTL.ZG (variación anual del IPC)
