año,mes,periodo,ipc,variacion_mensual,variacion_anual,fuente
2000,1,2000-01,100.92,0.92,8.75,DANE - Índice de Precios al Consumidor
2000,2,2000-02,101.58,0.66,8.75,DANE - Índice de Precios al Consumidor
2000,3,2000-03,102.43,0.83,8.75,DANE - Índice de Precios al Consumidor
2000,4,2000-04,103.23,0.79,8.75,DANE - Índice de Precios al Consumidor
2000,5,2000-05,103.95,0.7,8.75,DANE - Índice de Precios al Consumidor
2000,6,2000-06,104.55,0.57,8.75,DANE - Índice de Precios al Consumidor
2000,7,2000-07,105.23,0.66,8.75,DANE - Índice de Precios al Consumidor
2000,8,2000-08,105.88,0.61,8.75,DANE - Índice de Precios al Consumidor
2000,9,2000-09,106.66,0.74,8.75,DANE - Índice de Precios al Consumidor
2000,10,2000-10,107.5,0.79,8.75,DANE - Índice de Precios al Consumidor
2000,11,2000-11,108.35,0.79,8.75,DANE - Índice de Precios al Consumidor
2000,12,2000-12,109.11,0.7,8.75,DANE - Índice de Precios al Consumidor
2001,1,2001-01,109.99,0.8,8.98,DANE - Índice de Precios al Consumidor
2001,2,2001-02,110.62,0.57,8.89,DANE - Índice de Precios al Consumidor
2001,3,2001-03,111.42,0.73,8.78,DANE - Índice de Precios al Consumidor
2001,4,2001-04,112.19,0.69,8.68,DANE - Índice de Precios al Consumidor
2001,5,2001-05,112.87,0.61,8.58,DANE - Índice de Precios al Consumidor
2001,6,2001-06,113.44,0.5,8.5,DANE - Índice de Precios al Consumidor
2001,7,2001-07,114.09,0.57,8.41,DANE - Índice de Precios al Consumidor
2001,8,2001-08,114.7,0.54,8.33,DANE - Índice de Precios al Consumidor
2001,9,2001-09,115.44,0.65,8.23,DANE - Índice de Precios al Consumidor
2001,10,2001-10,116.24,0.69,8.12,DANE - Índice de Precios al Consumidor
2001,11,2001-11,117.04,0.69,8.02,DANE - Índice de Precios al Consumidor
2001,12,2001-12,117.75,0.61,7.92,DANE - Índice de Precios al Consumidor
2002,1,2002-01,118.62,0.73,7.85,DANE - Índice de Precios al Consumidor
2002,2,2002-02,119.24,0.52,7.8,DANE - Índice de Precios al Consumidor
2002,3,2002-03,120.03,0.66,7.73,DANE - Índice de Precios al Consumidor
2002,4,2002-04,120.79,0.63,7.67,DANE - Índice de Precios al Consumidor
2002,5,2002-05,121.46,0.56,7.61,DANE - Índice de Precios al Consumidor
2002,6,2002-06,122.01,0.45,7.56,DANE - Índice de Precios al Consumidor
2002,7,2002-07,122.65,0.52,7.51,DANE - Índice de Precios al Consumidor
2002,8,2002-08,123.25,0.49,7.46,DANE - Índice de Precios al Consumidor
2002,9,2002-09,123.99,0.59,7.4,DANE - Índice de Precios al Consumidor
2002,10,2002-10,124.77,0.63,7.34,DANE - Índice de Precios al Consumidor
2002,11,2002-11,125.55,0.63,7.27,DANE - Índice de Precios al Consumidor
2002,12,2002-12,126.25,0.56,7.22,DANE - Índice de Precios al Consumidor
2003,1,2003-01,127.11,0.68,7.16,DANE - Índice de Precios al Consumidor
2003,2,2003-02,127.73,0.49,7.12,DANE - Índice de Precios al Consumidor
2003,3,2003-03,128.52,0.62,7.07,DANE - Índice de Precios al Consumidor
2003,4,2003-04,129.27,0.58,7.02,DANE - Índice de Precios al Consumidor
2003,5,2003-05,129.94,0.52,6.98,DANE - Índice de Precios al Consumidor
2003,6,2003-06,130.49,0.42,6.95,DANE - Índice de Precios al Consumidor
2003,7,2003-07,131.13,0.49,6.91,DANE - Índice de Precios al Consumidor
2003,8,2003-08,131.72,0.45,6.87,DANE - Índice de Precios al Consumidor
2003,9,2003-09,132.45,0.55,6.82,DANE - Índice de Precios al Consumidor
2003,10,2003-10,133.22,0.58,6.78,DANE - Índice de Precios al Consumidor
2003,11,2003-11,134.0,0.58,6.73,DANE - Índice de Precios al Consumidor
2003,12,2003-12,134.7,0.52,6.69,DANE - Índice de Precios al Consumidor
2004,1,2004-01,135.47,0.58,6.58,DANE - Índice de Precios al Consumidor
2004,2,2004-02,136.03,0.41,6.5,DANE - Índice de Precios al Consumidor
2004,3,2004-03,136.74,0.52,6.4,DANE - Índice de Precios al Consumidor
2004,4,2004-04,137.42,0.49,6.3,DANE - Índice de Precios al Consumidor
2004,5,2004-05,138.02,0.44,6.22,DANE - Índice de Precios al Consumidor
2004,6,2004-06,138.52,0.36,6.15,DANE - Índice de Precios al Consumidor
2004,7,2004-07,139.09,0.41,6.07,DANE - Índice de Precios al Consumidor
2004,8,2004-08,139.62,0.39,6.0,DANE - Índice de Precios al Consumidor
2004,9,2004-09,140.28,0.47,5.91,DANE - Índice de Precios al Consumidor
2004,10,2004-10,140.97,0.49,5.82,DANE - Índice de Precios al Consumidor
2004,11,2004-11,141.67,0.49,5.72,DANE - Índice de Precios al Consumidor
2004,12,2004-12,142.29,0.44,5.64,DANE - Índice de Precios al Consumidor
2005,1,2005-01,143.02,0.51,5.57,DANE - Índice de Precios al Consumidor
2005,2,2005-02,143.54,0.36,5.52,DANE - Índice de Precios al Consumidor
2005,3,2005-03,144.2,0.46,5.45,DANE - Índice de Precios al Consumidor
2005,4,2005-04,144.83,0.44,5.39,DANE - Índice de Precios al Consumidor
2005,5,2005-05,145.39,0.39,5.34,DANE - Índice de Precios al Consumidor
2005,6,2005-06,145.85,0.32,5.29,DANE - Índice de Precios al Consumidor
2005,7,2005-07,146.38,0.36,5.24,DANE - Índice de Precios al Consumidor
2005,8,2005-08,146.88,0.34,5.19,DANE - Índice de Precios al Consumidor
2005,9,2005-09,147.48,0.41,5.14,DANE - Índice de Precios al Consumidor
2005,10,2005-10,148.13,0.44,5.07,DANE - Índice de Precios al Consumidor
2005,11,2005-11,148.77,0.44,5.01,DANE - Índice de Precios al Consumidor
2005,12,2005-12,149.35,0.39,4.96,DANE - Índice de Precios al Consumidor
2006,1,2006-01,150.05,0.47,4.92,DANE - Índice de Precios al Consumidor
2006,2,2006-02,150.56,0.34,4.89,DANE - Índice de Precios al Consumidor
2006,3,2006-03,151.2,0.43,4.85,DANE - Índice de Precios al Consumidor
2006,4,2006-04,151.81,0.4,4.82,DANE - Índice de Precios al Consumidor
2006,5,2006-05,152.35,0.36,4.79,DANE - Índice de Precios al Consumidor
2006,6,2006-06,152.79,0.29,4.76,DANE - Índice de Precios al Consumidor
2006,7,2006-07,153.31,0.34,4.73,DANE - Índice de Precios al Consumidor
2006,8,2006-08,153.79,0.31,4.71,DANE - Índice de Precios al Consumidor
2006,9,2006-09,154.37,0.38,4.67,DANE - Índice de Precios al Consumidor
2006,10,2006-10,155.0,0.4,4.64,DANE - Índice de Precios al Consumidor
2006,11,2006-11,155.62,0.4,4.6,DANE - Índice de Precios al Consumidor
2006,12,2006-12,156.18,0.36,4.57,DANE - Índice de Precios al Consumidor
2007,1,2007-01,157.11,0.6,4.71,DANE - Índice de Precios al Consumidor
2007,2,2007-02,157.78,0.43,4.8,DANE - Índice de Precios al Consumidor
2007,3,2007-03,158.64,0.54,4.92,DANE - Índice de Precios al Consumidor
2007,4,2007-04,159.45,0.51,5.03,DANE - Índice de Precios al Consumidor
2007,5,2007-05,160.17,0.46,5.14,DANE - Índice de Precios al Consumidor
2007,6,2007-06,160.77,0.37,5.22,DANE - Índice de Precios al Consumidor
2007,7,2007-07,161.45,0.43,5.31,DANE - Índice de Precios al Consumidor
2007,8,2007-08,162.1,0.4,5.4,DANE - Índice de Precios al Consumidor
2007,9,2007-09,162.88,0.48,5.51,DANE - Índice de Precios al Consumidor
2007,10,2007-10,163.71,0.51,5.62,DANE - Índice de Precios al Consumidor
2007,11,2007-11,164.55,0.51,5.74,DANE - Índice de Precios al Consumidor
2007,12,2007-12,165.3,0.46,5.84,DANE - Índice de Precios al Consumidor
2008,1,2008-01,166.63,0.81,6.06,DANE - Índice de Precios al Consumidor
2008,2,2008-02,167.59,0.58,6.22,DANE - Índice de Precios al Consumidor
2008,3,2008-03,168.81,0.73,6.41,DANE - Índice de Precios al Consumidor
2008,4,2008-04,169.98,0.69,6.6,DANE - Índice de Precios al Consumidor
2008,5,2008-05,171.02,0.61,6.77,DANE - Índice de Precios al Consumidor
2008,6,2008-06,171.87,0.5,6.91,DANE - Índice de Precios al Consumidor
2008,7,2008-07,172.86,0.58,7.07,DANE - Índice de Precios al Consumidor
2008,8,2008-08,173.79,0.54,7.21,DANE - Índice de Precios al Consumidor
2008,9,2008-09,174.92,0.65,7.39,DANE - Índice de Precios al Consumidor
2008,10,2008-10,176.13,0.69,7.58,DANE - Índice de Precios al Consumidor
2008,11,2008-11,177.35,0.69,7.78,DANE - Índice de Precios al Consumidor
2008,12,2008-12,178.43,0.61,7.95,DANE - Índice de Precios al Consumidor
2009,1,2009-01,178.81,0.21,7.31,DANE - Índice de Precios al Consumidor
2009,2,2009-02,179.08,0.15,6.85,DANE - Índice de Precios al Consumidor
2009,3,2009-03,179.42,0.19,6.28,DANE - Índice de Precios al Consumidor
2009,4,2009-04,179.74,0.18,5.74,DANE - Índice de Precios al Consumidor
2009,5,2009-05,180.03,0.16,5.27,DANE - Índice de Precios al Consumidor
2009,6,2009-06,180.26,0.13,4.88,DANE - Índice de Precios al Consumidor
2009,7,2009-07,180.53,0.15,4.44,DANE - Índice de Precios al Consumidor
2009,8,2009-08,180.79,0.14,4.03,DANE - Índice de Precios al Consumidor
2009,9,2009-09,181.09,0.17,3.53,DANE - Índice de Precios al Consumidor
2009,10,2009-10,181.42,0.18,3.0,DANE - Índice de Precios al Consumidor
2009,11,2009-11,181.74,0.18,2.48,DANE - Índice de Precios al Consumidor
2009,12,2009-12,182.04,0.16,2.02,DANE - Índice de Precios al Consumidor
2010,1,2010-01,182.64,0.33,2.14,DANE - Índice de Precios al Consumidor
2010,2,2010-02,183.08,0.24,2.23,DANE - Índice de Precios al Consumidor
2010,3,2010-03,183.63,0.3,2.35,DANE - Índice de Precios al Consumidor
2010,4,2010-04,184.15,0.29,2.45,DANE - Índice de Precios al Consumidor
2010,5,2010-05,184.62,0.25,2.55,DANE - Índice de Precios al Consumidor
2010,6,2010-06,185.0,0.21,2.63,DANE - Índice de Precios al Consumidor
2010,7,2010-07,185.44,0.24,2.72,DANE - Índice de Precios al Consumidor
2010,8,2010-08,185.85,0.22,2.8,DANE - Índice de Precios al Consumidor
2010,9,2010-09,186.35,0.27,2.9,DANE - Índice de Precios al Consumidor
2010,10,2010-10,186.88,0.29,3.01,DANE - Índice de Precios al Consumidor
2010,11,2010-11,187.42,0.29,3.12,DANE - Índice de Precios al Consumidor
2010,12,2010-12,187.89,0.25,3.22,DANE - Índice de Precios al Consumidor
2011,1,2011-01,188.63,0.39,3.28,DANE - Índice de Precios al Consumidor
2011,2,2011-02,189.15,0.28,3.32,DANE - Índice de Precios al Consumidor
2011,3,2011-03,189.82,0.35,3.37,DANE - Índice de Precios al Consumidor
2011,4,2011-04,190.46,0.34,3.43,DANE - Índice de Precios al Consumidor
2011,5,2011-05,191.03,0.3,3.47,DANE - Índice de Precios al Consumidor
2011,6,2011-06,191.49,0.24,3.51,DANE - Índice de Precios al Consumidor
2011,7,2011-07,192.03,0.28,3.55,DANE - Índice de Precios al Consumidor
2011,8,2011-08,192.53,0.26,3.59,DANE - Índice de Precios al Consumidor
2011,9,2011-09,193.14,0.32,3.64,DANE - Índice de Precios al Consumidor
2011,10,2011-10,193.79,0.34,3.7,DANE - Índice de Precios al Consumidor
2011,11,2011-11,194.44,0.34,3.75,DANE - Índice de Precios al Consumidor
2011,12,2011-12,195.02,0.3,3.79,DANE - Índice de Precios al Consumidor
2012,1,2012-01,195.52,0.26,3.65,DANE - Índice de Precios al Consumidor
2012,2,2012-02,195.88,0.18,3.55,DANE - Índice de Precios al Consumidor
2012,3,2012-03,196.33,0.23,3.43,DANE - Índice de Precios al Consumidor
2012,4,2012-04,196.76,0.22,3.31,DANE - Índice de Precios al Consumidor
2012,5,2012-05,197.15,0.2,3.2,DANE - Índice de Precios al Consumidor
2012,6,2012-06,197.46,0.16,3.12,DANE - Índice de Precios al Consumidor
2012,7,2012-07,197.82,0.18,3.02,DANE - Índice de Precios al Consumidor
2012,8,2012-08,198.16,0.17,2.92,DANE - Índice de Precios al Consumidor
