anio,pib_percapita_usd,fuente
2010,6398.3,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2011,7400.99,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2012,8108.6,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2013,8279.1,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2014,8187.21,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2015,6248.51,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2016,5959.84,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2017,6479.53,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2018,6816.97,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2019,6472.55,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2020,5339.69,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2021,6222.62,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2022,6680.45,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2023,7000.84,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
2024,7919.21,"Banco Mundial - NY.GDP.PCAP.CD (PIB per cápita, USD corrientes)"
