anio,sector,pib_miles_millones_cop
2000,"Agricultura, ganadería y pesca",33814.0
2000,Explotación de minas y canteras,66456.0
2000,Industria manufacturera,79606.0
2000,"Electricidad, gas y agua",20358.0
2000,Construcción,46721.0
2000,Comercio al por mayor y menor,90277.0
2000,Transporte y comunicaciones,55005.0
2000,Actividades financieras,57946.0
2000,Administración pública y defensa,49074.0
2000,Educación y salud,45000.0
2000,Otros servicios,30430.0
2001,"Agricultura, ganadería y pesca",36747.0
2001,Explotación de minas y canteras,65025.0
2001,Industria manufacturera,78766.0
2001,"Electricidad, gas y agua",20251.0
2001,Construcción,48101.0
2001,Comercio al por mayor y menor,90574.0
2001,Transporte y comunicaciones,56433.0
2001,Actividades financieras,64553.0
2001,Administración pública y defensa,49302.0
2001,Educación y salud,46723.0
2001,Otros servicios,31857.0
2002,"Agricultura, ganadería y pesca",35978.0
2002,Explotación de minas y canteras,66564.0
2002,Industria manufacturera,85956.0
2002,"Electricidad, gas y agua",20595.0
2002,Construcción,48295.0
2002,Comercio al por mayor y menor,97394.0
2002,Transporte y comunicaciones,59138.0
2002,Actividades financieras,64729.0
2002,Administración pública y defensa,51291.0
2002,Educación y salud,47705.0
2002,Otros servicios,31197.0
2003,"Agricultura, ganadería y pesca",37623.0
2003,Explotación de minas y canteras,66251.0
2003,Industria manufacturera,87192.0
2003,"Electricidad, gas y agua",22324.0
2003,Construcción,49150.0
2003,Comercio al por mayor y menor,98917.0
2003,Transporte y comunicaciones,59023.0
2003,Actividades financieras,67237.0
2003,Administración pública y defensa,53211.0
2003,Educación y salud,49792.0
2003,Otros servicios,31972.0
2004,"Agricultura, ganadería y pesca",38507.0
2004,Explotación de minas y canteras,68826.0
2004,Industria manufacturera,85992.0
2004,"Electricidad, gas y agua",23242.0
2004,Construcción,50318.0
2004,Comercio al por mayor y menor,103250.0
2004,Transporte y comunicaciones,61519.0
2004,Actividades financieras,69779.0
2004,Administración pública y defensa,55784.0
2004,Educación y salud,50741.0
2004,Otros servicios,32889.0
2005,"Agricultura, ganadería y pesca",38020.0
2005,Explotación de minas y canteras,66087.0
2005,Industria manufacturera,89806.0
2005,"Electricidad, gas y agua",23231.0
2005,Construcción,54285.0
2005,Comercio al por mayor y menor,108136.0
2005,Transporte y comunicaciones,64693.0
2005,Actividades financieras,70389.0
2005,Administración pública y defensa,55705.0
2005,Educación y salud,52554.0
2005,Otros servicios,33223.0
2006,"Agricultura, ganadería y pesca",42099.0
2006,Explotación de minas y canteras,71455.0
2006,Industria manufacturera,92604.0
2006,"Electricidad, gas y agua",23828.0
2006,Construcción,56828.0
2006,Comercio al por mayor y menor,104293.0
2006,Transporte y comunicaciones,64668.0
2006,Actividades financieras,75694.0
2006,Administración pública y defensa,59107.0
2006,Educación y salud,53671.0
2006,Otros servicios,33780.0
2007,"Agricultura, ganadería y pesca",41083.0
2007,Explotación de minas y canteras,68710.0
2007,Industria manufacturera,90428.0
2007,"Electricidad, gas y agua",23939.0
2007,Construcción,56863.0
2007,Comercio al por mayor y menor,110229.0
2007,Transporte y comunicaciones,69131.0
2007,Actividades financieras,80828.0
2007,Administración pública y defensa,59541.0
2007,Educación y salud,55170.0
2007,Otros servicios,36454.0
2008,"Agricultura, ganadería y pesca",43965.0
2008,Explotación de minas y canteras,71371.0
2008,Industria manufacturera,95986.0
2008,"Electricidad, gas y agua",26225.0
2008,Construcción,57079.0
2008,Comercio al por mayor y menor,117436.0
2008,Transporte y comunicaciones,68427.0
2008,Actividades financieras,81955.0
2008,Administración pública y defensa,62366.0
2008,Educación y salud,57995.0
2008,Otros servicios,35520.0
2009,"Agricultura, ganadería y pesca",44265.0
2009,Explotación de minas y canteras,68640.0
2009,Industria manufacturera,94514.0
2009,"Electricidad, gas y agua",26749.0
2009,Construcción,60976.0
2009,Comercio al por mayor y menor,118368.0
2009,Transporte y comunicaciones,73072.0
2009,Actividades financieras,87593.0
2009,Administración pública y defensa,63745.0
2009,Educación y salud,56400.0
2009,Otros servicios,37227.0
2010,"Agricultura, ganadería y pesca",44671.0
2010,Explotación de minas y canteras,69247.0
2010,Industria manufacturera,97843.0
2010,"Electricidad, gas y agua",27110.0
2010,Construcción,65145.0
2010,Comercio al por mayor y menor,125228.0
2010,Transporte y comunicaciones,71717.0
2010,Actividades financieras,86899.0
2010,Administración pública y defensa,64819.0
2010,Educación y salud,58698.0
2010,Otros servicios,37555.0
2011,"Agricultura, ganadería y pesca",46198.0
2011,Explotación de minas y canteras,70601.0
2011,Industria manufacturera,101716.0
2011,"Electricidad, gas y agua",28475.0
2011,Construcción,63248.0
2011,Comercio al por mayor y menor,124906.0
2011,Transporte y comunicaciones,77941.0
2011,Actividades financieras,95878.0
2011,Administración pública y defensa,64420.0
2011,Educación y salud,60642.0
2011,Otros servicios,40549.0
2012,"Agricultura, ganadería y pesca",48612.0
2012,Explotación de minas y canteras,71471.0
2012,Industria manufacturera,100985.0
2012,"Electricidad, gas y agua",29015.0
2012,Construcción,69877.0
2012,Comercio al por mayor y menor,124913.0
2012,Transporte y comunicaciones,79452.0
2012,Actividades financieras,98428.0
2012,Administración pública y defensa,67512.0
2012,Educación y salud,62438.0
2012,Otros servicios,38847.0
2013,"Agricultura, ganadería y pesca",47405.0
2013,Explotación de minas y canteras,75798.0
2013,Industria manufacturera,99720.0
2013,"Electricidad, gas y agua",28215.0
2013,Construcción,69599.0
2013,Comercio al por mayor y menor,127554.0
2013,Transporte y comunicaciones,78504.0
2013,Actividades financieras,96094.0
2013,Administración pública y defensa,69062.0
2013,Educación y salud,67124.0
2013,Otros servicios,41114.0
2014,"Agricultura, ganadería y pesca",48008.0
2014,Explotación de minas y canteras,73708.0
2014,Industria manufacturera,106321.0
2014,"Electricidad, gas y agua",31318.0
2014,Construcción,75712.0
2014,Comercio al por mayor y menor,133319.0
2014,Transporte y comunicaciones,79935.0
2014,Actividades financieras,106649.0
2014,Administración pública y defensa,73060.0
2014,Educación y salud,67841.0
2014,Otros servicios,43310.0
2015,"Agricultura, ganadería y pesca",52175.0
2015,Explotación de minas y canteras,76125.0
2015,Industria manufacturera,110879.0
2015,"Electricidad, gas y agua",29973.0
2015,Construcción,74013.0
2015,Comercio al por mayor y menor,137718.0
2015,Transporte y comunicaciones,83088.0
2015,Actividades financieras,111607.0
2015,Administración pública y defensa,69695.0
2015,Educación y salud,71076.0
2015,Otros servicios,41959.0
2016,"Agricultura, ganadería y pesca",51379.0
2016,Explotación de minas y canteras,75718.0
2016,Industria manufacturera,107024.0
2016,"Electricidad, gas y agua",32148.0
2016,Construcción,78248.0
2016,Comercio al por mayor y menor,142310.0
2016,Transporte y comunicaciones,89933.0
2016,Actividades financieras,109324.0
2016,Administración pública y defensa,72399.0
2016,Educación y salud,71371.0
2016,Otros servicios,44102.0
2017,"Agricultura, ganadería y pesca",52005.0
2017,Explotación de minas y canteras,79558.0
2017,Industria manufacturera,114960.0
2017,"Electricidad, gas y agua",32017.0
2017,Construcción,79917.0
2017,Comercio al por mayor y menor,145575.0
2017,Transporte y comunicaciones,90551.0
2017,Actividades financieras,114783.0
2017,Administración pública y defensa,76092.0
2017,Educación y salud,76893.0
2017,Otros servicios,45219.0
2018,"Agricultura, ganadería y pesca",55244.0
2018,Explotación de minas y canteras,78344.0
2018,Industria manufacturera,116563.0
2018,"Electricidad, gas y agua",32855.0
2018,Construcción,85224.0
2018,Comercio al por mayor y menor,158689.0
2018,Transporte y comunicaciones,94410.0
2018,Actividades financieras,119483.0
2018,Administración pública y defensa,79058.0
2018,Educación y salud,77909.0
2018,Otros servicios,47375.0
2019,"Agricultura, ganadería y pesca",54372.0
2019,Explotación de minas y canteras,81502.0
2019,Industria manufacturera,120791.0
2019,"Electricidad, gas y agua",34859.0
2019,Construcción,87161.0
2019,Comercio al por mayor y menor,152003.0
2019,Transporte y comunicaciones,100213.0
2019,Actividades financieras,129634.0
2019,Administración pública y defensa,80805.0
2019,Educación y salud,80556.0
2019,Otros servicios,46763.0
2020,"Agricultura, ganadería y pesca",47999.0
2020,Explotación de minas y canteras,66048.0
2020,Industria manufacturera,101821.0
2020,"Electricidad, gas y agua",29701.0
2020,Construcción,78518.0
2020,Comercio al por mayor y menor,137751.0
2020,Transporte y comunicaciones,84063.0
2020,Actividades financieras,108213.0
2020,Administración pública y defensa,70671.0
2020,Educación y salud,70835.0
2020,Otros servicios,42218.0
2021,"Agricultura, ganadería y pesca",63329.0
2021,Explotación de minas y canteras,90128.0
2021,Industria manufacturera,129598.0
2021,"Electricidad, gas y agua",41998.0
2021,Construcción,102600.0
2021,Comercio al por mayor y menor,181066.0
2021,Transporte y comunicaciones,112667.0
2021,Actividades financieras,151949.0
2021,Administración pública y defensa,90593.0
2021,Educación y salud,94640.0
2021,Otros servicios,55077.0
2022,"Agricultura, ganadería y pesca",62146.0
2022,Explotación de minas y canteras,83078.0
2022,Industria manufacturera,119714.0
2022,"Electricidad, gas y agua",38770.0
2022,Construcción,94464.0
2022,Comercio al por mayor y menor,175954.0
2022,Transporte y comunicaciones,105745.0
2022,Actividades financieras,141713.0
2022,Administración pública y defensa,88801.0
2022,Educación y salud,83171.0
2022,Otros servicios,51884.0
2023,"Agricultura, ganadería y pesca",60911.0
2023,Explotación de minas y canteras,78678.0
2023,Industria manufacturera,128710.0
2023,"Electricidad, gas y agua",39667.0
2023,Construcción,102405.0
2023,Comercio al por mayor y menor,179019.0
2023,Transporte y comunicaciones,107132.0
2023,Actividades financieras,153623.0
2023,Administración pública y defensa,85518.0
2023,Educación y salud,85633.0
2023,Otros servicios,53923.0
2024,"Agricultura, ganadería y pesca",62651.0
2024,Explotación de minas y canteras,81618.0
2024,Industria manufacturera,132551.0
2024,"Electricidad, gas y agua",40094.0
2024,Construcción,105947.0
2024,Comercio al por mayor y menor,185059.0
2024,Transporte y comunicaciones,110275.0
2024,Actividades financieras,148379.0
2024,Administración pública y defensa,88592.0
2024,Educación y salud,94904.0
2024,Otros servicios,53851.0
