año,mes,periodo,trm_cop_usd,variacion_mensual_pct,fuente
2010,1,2010-01,1802.25,-1.09,Banco de la República de Colombia - TRM
2010,2,2010-02,1784.59,-0.98,Banco de la República de Colombia - TRM
2010,3,2010-03,1788.51,0.22,Banco de la República de Colombia - TRM
2010,4,2010-04,1802.44,0.78,Banco de la República de Colombia - TRM
2010,5,2010-05,1809.45,0.39,Banco de la República de Colombia - TRM
2010,6,2010-06,1806.58,-0.16,Banco de la República de Colombia - TRM
2010,7,2010-07,1824.9,1.01,Banco de la República de Colombia - TRM
2010,8,2010-08,1842.59,0.97,Banco de la República de Colombia - TRM
2010,9,2010-09,1837.75,-0.26,Banco de la República de Colombia - TRM
2010,10,2010-10,1817.98,-1.08,Banco de la República de Colombia - TRM
2010,11,2010-11,1821.15,0.17,Banco de la República de Colombia - TRM
2010,12,2010-12,1806.66,-0.8,Banco de la República de Colombia - TRM
2011,1,2011-01,1746.07,-1.58,Banco de la República de Colombia - TRM
2011,2,2011-02,1731.39,-0.84,Banco de la República de Colombia - TRM
2011,3,2011-03,1740.39,0.52,Banco de la República de Colombia - TRM
2011,4,2011-04,1758.42,1.04,Banco de la República de Colombia - TRM
2011,5,2011-05,1758.0,-0.02,Banco de la República de Colombia - TRM
2011,6,2011-06,1753.98,-0.23,Banco de la República de Colombia - TRM
2011,7,2011-07,1770.6,0.95,Banco de la República de Colombia - TRM
2011,8,2011-08,1786.63,0.91,Banco de la República de Colombia - TRM
2011,9,2011-09,1787.43,0.04,Banco de la República de Colombia - TRM
2011,10,2011-10,1777.75,-0.54,Banco de la República de Colombia - TRM
2011,11,2011-11,1782.59,0.27,Banco de la República de Colombia - TRM
2011,12,2011-12,1763.42,-1.08,Banco de la República de Colombia - TRM
2012,1,2012-01,1710.73,-0.83,Banco de la República de Colombia - TRM
2012,2,2012-02,1698.23,-0.73,Banco de la República de Colombia - TRM
2012,3,2012-03,1699.49,0.07,Banco de la República de Colombia - TRM
2012,4,2012-04,1711.0,0.68,Banco de la República de Colombia - TRM
2012,5,2012-05,1719.18,0.48,Banco de la República de Colombia - TRM
2012,6,2012-06,1715.45,-0.22,Banco de la República de Colombia - TRM
2012,7,2012-07,1731.67,0.95,Banco de la República de Colombia - TRM
2012,8,2012-08,1757.36,1.48,Banco de la República de Colombia - TRM
2012,9,2012-09,1754.36,-0.17,Banco de la República de Colombia - TRM
2012,10,2012-10,1748.72,-0.32,Banco de la República de Colombia - TRM
2012,11,2012-11,1754.01,0.3,Banco de la República de Colombia - TRM
2012,12,2012-12,1740.71,-0.76,Banco de la República de Colombia - TRM
2013,1,2013-01,1777.44,-0.94,Banco de la República de Colombia - TRM
2013,2,2013-02,1768.46,-0.51,Banco de la República de Colombia - TRM
